Tour,Tour Description,Year,Tournament Sequence Number,Tournament Permanent Number,Tournament Name,Player Number,Player First Name,Player Last Name,Round,Hole Number,Hole Sequence Number,Shot Sequence Number,Club Head Speed,Ball Speed,Smash Factor,Vertical Launch Angle,Horizontal Launch Angle,Valid Launch Spin,Launch Spin,Valid Apex,Apex Range,Apex Side,Apex Height,Valid Actual,Actual Flight Time,Actual Landing Angle,Actual Landing Speed,Actual Range,Actual Side,Actual Height,Valid Flat,Flat Flight Time,Flat Landing Angle,Flat Landing Speed,Flat Range,Flat Side,X Coordinate of Impact,Y Coordinate of Impact,Z Coordinate of Impact,Distance of Impact,Course Number,Course Name,Valid Calculated Drive,Valid Stored Drive,Club,Total Distance,Ending Location Code,Ending Location Description,Weather,Trajectory Sequence,Trajectory X Coordinate,Trajectory Y Coordinate,Trajectory Z Coordinate,Trajectory Time,Extrapolated
R,PGA TOUR,2017,390,30,John Deere Classic,29222,Billy,Hurley III,1,17,17,1,110.712,159.688,1.442,6.533,-4.158,Y,2807,Y,526.296,-57.206,80.073,Y,2421.42,-34.562,86.446,408.665,-37.322,71.5,N,0,0,0,0,0,12913.304,10402.346,627.467,159.688,669,TPC Deere Run,Y,Y,CDR,5378,OUK,Unknown,  NW 8-15,1,12636.78,9682.275,613.722,11:57:08,N
R,PGA TOUR,2017,390,30,John Deere Classic,29222,Billy,Hurley III,1,17,17,1,110.712,159.688,1.442,6.533,-4.158,Y,2807,Y,526.296,-57.206,80.073,Y,2421.42,-34.562,86.446,408.665,-37.322,71.5,N,0,0,0,0,0,12913.304,10402.346,627.467,159.688,669,TPC Deere Run,Y,Y,CDR,5378,OUK,Unknown,  NW 8-15,2,12656.577,9722.115,621.215,11:57:08,N
R,PGA TOUR,2017,390,30,John Deere Classic,29222,Billy,Hurley III,1,17,17,1,110.712,159.688,1.442,6.533,-4.158,Y,2807,Y,526.296,-57.206,80.073,Y,2421.42,-34.562,86.446,408.665,-37.322,71.5,N,0,0,0,0,0,12913.304,10402.346,627.467,159.688,669,TPC Deere Run,Y,Y,CDR,5378,OUK,Unknown,  NW 8-15,3,12675.038,9760.062,628.591,11:57:08,N
R,PGA TOUR,2017,390,30,John Deere Classic,29222,Billy,Hurley III,1,17,17,1,110.712,159.688,1.442,6.533,-4.158,Y,2807,Y,526.296,-57.206,80.073,Y,2421.42,-34.562,86.446,408.665,-37.322,71.5,N,0,0,0,0,0,12913.304,10402.346,627.467,159.688,669,TPC Deere Run,Y,Y,CDR,5378,OUK,Unknown,  NW 8-15,4,12692.249,9796.215,635.792,11:57:08,N
R,PGA TOUR,2017,390,30,John Deere Classic,29222,Billy,Hurley III,1,17,17,1,110.712,159.688,1.442,6.533,-4.158,Y,2807,Y,526.296,-57.206,80.073,Y,2421.42,-34.562,86.446,408.665,-37.322,71.5,N,0,0,0,0,0,12913.304,10402.346,627.467,159.688,669,TPC Deere Run,Y,Y,CDR,5378,OUK,Unknown,  NW 8-15,5,12708.295,9830.672,642.766,11:57:08,N
R,PGA TOUR,2017,390,30,John Deere Classic,29222,Billy,Hurley III,1,17,17,1,110.712,159.688,1.442,6.533,-4.158,Y,2807,Y,526.296,-57.206,80.073,Y,2421.42,-34.562,86.446,408.665,-37.322,71.5,N,0,0,0,0,0,12913.304,10402.346,627.467,159.688,669,TPC Deere Run,Y,Y,CDR,5378,OUK,Unknown,  NW 8-15,6,12723.257,9863.528,649.46,11:57:09,N
R,PGA TOUR,2017,390,30,John Deere Classic,29222,Billy,Hurley III,1,17,17,1,110.712,159.688,1.442,6.533,-4.158,Y,2807,Y,526.296,-57.206,80.073,Y,2421.42,-34.562,86.446,408.665,-37.322,71.5,N,0,0,0,0,0,12913.304,10402.346,627.467,159.688,669,TPC Deere Run,Y,Y,CDR,5378,OUK,Unknown,  NW 8-15,7,12737.212,9894.875,655.827,11:57:09,N
R,PGA TOUR,2017,390,30,John Deere Classic,29222,Billy,Hurley III,1,17,17,1,110.712,159.688,1.442,6.533,-4.158,Y,2807,Y,526.296,-57.206,80.073,Y,2421.42,-34.562,86.446,408.665,-37.322,71.5,N,0,0,0,0,0,12913.304,10402.346,627.467,159.688,669,TPC Deere Run,Y,Y,CDR,5378,OUK,Unknown,  NW 8-15,8,12750.231,9924.805,661.822,11:57:09,N
R,PGA TOUR,2017,390,30,John Deere Classic,29222,Billy,Hurley III,1,17,17,1,110.712,159.688,1.442,6.533,-4.158,Y,2807,Y,526.296,-57.206,80.073,Y,2421.42,-34.562,86.446,408.665,-37.322,71.5,N,0,0,0,0,0,12913.304,10402.346,627.467,159.688,669,TPC Deere Run,Y,Y,CDR,5378,OUK,Unknown,  NW 8-15,9,12762.384,9953.405,667.403,11:57:09,N
R,PGA TOUR,2017,390,30,John Deere Classic,29222,Billy,Hurley III,1,17,17,1,110.712,159.688,1.442,6.533,-4.158,Y,2807,Y,526.296,-57.206,80.073,Y,2421.42,-34.562,86.446,408.665,-37.322,71.5,N,0,0,0,0,0,12913.304,10402.346,627.467,159.688,669,TPC Deere Run,Y,Y,CDR,5378,OUK,Unknown,  NW 8-15,10,12773.735,9980.759,672.532,11:57:09,N
